category,metric,week_start,week_end,week_range,value
Leads,Alumnae EH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,6
Leads,Alumnae PTH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,0
Leads,Daily Average EH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,13
Leads,Daily Average PTH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,2
Leads,EH IG,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,0
Leads,EH Live Chat,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,0
Leads,EH Opt in pop up box,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,48
Leads,EH WhatsApp,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,25
Leads,Nuture Sequence EH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,2
Leads,Nuture Sequence PTH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,0
Leads,PTH IG,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,0
Leads,PTH Opt in pop up box,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,8
Leads,PTH WhatsApp,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,2
Leads,QUALIFIED LEADS EH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,36
Leads,QUALIFIED LEADS PTH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,4
Leads,Total Number of EH calls,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,0
Leads,Total Number of Leads EH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,89
Leads,Total Number of Leads PTH,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,14
Leads,Total Number of PTH calls,2024-12-31,2025-01-06,31-12-2024 - 06-01-2025,0
Leads,Alumnae EH,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,6
Leads,Alumnae PTH,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,0
Leads,Daily Average EH,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,19
Leads,Daily Average PTH,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,5
Leads,EH IG,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,0
Leads,EH Live Chat,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,0
Leads,EH Opt in pop up box,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,53
Leads,EH WhatsApp,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,25
Leads,Nuture Sequence EH,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,1
Leads,Nuture Sequence PTH,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,0
Leads,PTH IG,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,0
Leads,PTH Opt in pop up box,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,3
Leads,PTH WhatsApp,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,3
Leads,QUALIFIED LEADS EH,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,35
Leads,QUALIFIED LEADS PTH,2025-01-07,2025-01-13,07-01-2025 - 13-01-2025,4
